date,1F地铁口,1F通道,1号门,24小时直梯,2F客梯厅,2号门,3号门,B1地铁口,B2F-2号客梯厅,B2F-3号客梯厅,B2F扶梯,B3F-2号客梯厅,B3F-3号客梯厅,奈雪,必胜客
2024-09-26 00:00,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 00:10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 00:20,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 00:30,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 00:40,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 00:50,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 01:00,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 01:10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 01:20,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 01:30,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 01:40,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 01:50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 02:00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 02:10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 02:20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2024-09-26 02:30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 02:40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 02:50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 03:00,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
2024-09-26 03:10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 03:20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 03:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 03:50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 04:10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 04:20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 04:30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 04:40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-09-26 04:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 05:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2024-09-26 05:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 05:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 05:30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 05:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 05:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 06:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 06:20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 06:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 06:50,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2024-09-26 07:00,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2024-09-26 07:10,0,0,1,7,0,5,0,0,1,0,0,0,0,0,0
2024-09-26 07:20,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
2024-09-26 07:30,0,0,0,2,0,15,6,12,3,0,0,0,0,0,0
2024-09-26 07:40,0,0,0,10,0,10,9,15,0,1,0,0,0,0,0
2024-09-26 07:50,0,0,1,5,0,9,13,12,0,5,0,0,1,1,0
2024-09-26 08:00,0,0,3,5,0,12,25,16,5,0,0,0,0,1,1
2024-09-26 08:10,0,0,1,3,0,12,12,15,0,0,0,0,0,0,0
2024-09-26 08:20,1,0,0,4,0,18,15,22,0,0,0,0,0,0,1
2024-09-26 08:30,0,1,3,4,0,12,9,15,0,0,1,0,0,0,0
2024-09-26 08:40,0,0,1,8,0,17,14,30,1,0,0,0,1,0,0
2024-09-26 08:50,1,0,2,7,0,21,8,18,3,0,3,0,0,0,0
